CUST_ID,BALANCE,PURCHASES,PURCHASES_TRX,ONEOFF_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10027,1615.96724,102.0,2,102.0,244.840485,5,1700.0,890.178845,0.0,12
C10028,125.694817,233.28,12,0.0,0.0,0,1000.0,207.773715,0.0,12
C10029,7152.864372,387.05,8,204.55,2236.145259,16,10500.0,1601.448347,0.0,12
C10030,22.06349,100.0,5,0.0,0.0,0,6900.0,160.767773,0.0,12
C10031,12136.21996,3038.01,64,1013.2,3183.583301,10,13000.0,4230.323491,0.0,12
C10032,1162.273324,1347.71,45,400.0,175.815755,2,6000.0,645.998299,0.0,12
C10033,6732.823064,324.95,3,324.95,1189.533753,3,10500.0,1720.118876,0.0,12
C10034,125.660453,636.79,11,636.79,0.0,0,1200.0,423.449696,0.3,12
C10035,3517.101616,547.28,14,0.0,0.0,0,11000.0,8735.607835,0.0,12
C10036,1656.350781,0.0,0,0.0,99.264367,1,1800.0,351.500199,0.0,12
C10037,7427.076941,0.0,0,0.0,8873.375046,11,9000.0,1636.361601,0.0,11
C10038,4047.480828,2380.55,41,1642.17,1697.660901,7,5000.0,1617.894416,0.0,12
C10039,6269.418144,204.0,2,204.0,2925.699862,12,9000.0,1237.111661,0.0,12
C10040,1411.60223,963.24,6,963.24,6173.682877,6,7500.0,20071.07544,0.333333,12
C10041,663.44781,0.0,0,0.0,3133.063934,3,1800.0,3067.05783,0.166667,12
C10043,784.889762,1526.59,27,786.3,2188.419607,11,3000.0,1262.309666,0.111111,12
C10044,4104.710798,203.82,1,203.82,0.0,0,4500.0,868.275275,0.0,12
C10045,1360.742377,0.0,0,0.0,1481.587093,1,1500.0,378.294227,0.0,12
C10046,5315.945594,1525.44,20,469.8,0.0,0,8500.0,1430.341501,0.0,12
C10047,2242.311686,437.0,5,97.0,184.648692,2,2400.0,0.0,0.0,12
C10048,474.447149,109.74,3,0.0,1013.659552,1,1700.0,176.013005,0.0,8
C10049,3910.111237,0.0,0,0.0,1980.873201,7,4200.0,0.0,0.0,12
C10050,229.867179,2390.6,87,1402.93,0.0,0,3300.0,2543.953559,0.916667,12
C10051,863.809833,507.5,3,507.5,695.097159,2,4000.0,587.866451,0.083333,12
C10052,4931.331857,901.42,9,646.07,8530.648614,37,12000.0,8113.297346,0.0,8
C10053,1078.888565,3107.85,18,2221.74,0.0,0,2500.0,1399.82834,0.0,12
C10054,1565.681099,0.0,0,0.0,321.359135,3,3500.0,691.825279,0.0,12
C10055,464.674156,1979.22,11,1979.22,1981.265503,1,3000.0,3110.052742,0.2,9
C10056,6.660517,310.0,8,0.0,0.0,0,1000.0,417.016763,0.0,12
C10057,1311.995984,1283.9,6,1283.9,0.0,0,6000.0,0.0,0.0,12
C10058,3625.218146,313.27,4,313.27,668.468743,5,4000.0,0.0,0.0,12
C10059,2386.330629,5217.62,42,4789.09,0.0,0,7500.0,5678.729613,0.083333,12
C10060,3971.138765,0.0,0,0.0,224.575517,3,4000.0,764.938728,0.0,11
C10061,5493.90406,229.0,6,0.0,970.591332,4,6000.0,2110.557023,0.0,12
C10062,1879.114033,113.0,2,113.0,0.0,0,6500.0,3509.686561,0.0,12
C10063,1555.793701,66.2,1,66.2,0.0,0,1600.0,338.083661,0.0,12
C10064,809.582978,0.0,0,0.0,3819.672466,7,4150.0,4372.148648,0.090909,11
C10065,7.152356,840.0,1,840.0,0.0,0,1600.0,0.0,0.0,12
C10067,1923.886805,1887.64,61,0.0,1605.949371,4,1850.0,3688.045998,0.083333,12
C10068,1758.059987,412.33,11,325.21,0.0,0,1800.0,777.451648,0.0,12
C10069,809.847455,0.0,0,0.0,908.423608,1,1500.0,146.074769,0.0,8
C10070,1576.305029,0.0,0,0.0,382.908547,6,2500.0,540.022225,0.0,12
C10071,3990.523579,263.5,8,190.6,0.0,0,6000.0,6876.836205,0.083333,12
C10072,1699.435486,1363.69,4,1363.69,0.0,0,1700.0,1623.816348,0.0,12
C10073,5487.683724,419.1,11,0.0,625.399386,4,6250.0,1288.214909,0.0,12
C10074,2990.422186,4523.27,33,1664.09,27296.48576,27,7000.0,28232.69446,0.454545,12
C10075,656.01301,0.0,0,0.0,1474.349901,3,7000.0,910.457985,0.25,8
C10077,1808.972419,713.9,8,503.08,0.0,0,2250.0,889.017418,0.0,10
C10078,532.334517,791.94,7,516.64,0.0,0,6000.0,1305.177304,0.0,11
C10079,5860.433624,561.87,14,249.5,0.0,0,6000.0,1990.044998,0.0,12
C10080,1727.638449,606.11,17,606.11,0.0,0,11000.0,2959.920544,0.0,12
C10081,578.809679,320.0,8,0.0,0.0,0,1500.0,1438.910569,0.0,12
C10082,1205.716678,0.0,0,0.0,38.325801,1,1200.0,29.278671,0.0,12
C10083,6593.820644,388.66,7,388.66,4621.93458,7,7000.0,1624.583114,0.0,12
C10084,17.357563,244.85,13,40.21,0.0,0,5000.0,357.802082,0.181818,12
C10085,81.584711,0.0,0,0.0,2985.300006,5,9500.0,116.569033,0.0,12
C10086,3.78631,133.05,5,28.2,0.0,0,12000.0,210.053432,0.444444,12
C10087,42.46443,396.0,12,0.0,0.0,0,1200.0,725.606194,1.0,12
C10088,1935.362486,4915.6,50,4515.34,293.844792,1,9000.0,4921.066897,0.0,12
C10089,134.917202,1247.8,22,1247.8,0.0,0,16500.0,1275.229436,1.0,12
C10090,7069.950386,1603.78,23,1445.14,5626.004046,23,11000.0,4589.873897,0.0,12
C10092,8181.251131,2258.01,60,1318.78,5251.228934,21,13500.0,3021.575846,0.0,12
C10093,4037.305658,45.0,1,45.0,104.238064,1,4500.0,1073.844885,0.0,12
C10094,6110.265264,0.0,0,0.0,2717.253917,14,6500.0,1502.205631,0.0,12
C10095,9381.255094,5100.07,46,1147.83,370.737197,1,9000.0,6409.496345,0.0,12
C10096,1977.00709,1032.04,17,226.9,4335.919227,21,4000.0,3056.424974,0.090909,11
C10097,1321.47608,45.65,1,45.65,495.657934,1,1800.0,440.840439,0.0,12
C10098,1307.717841,405.6,2,405.6,0.0,0,2400.0,0.0,0.0,12
C10099,2329.485768,213.34,3,213.34,0.0,0,2400.0,0.0,0.0,12
C10100,1139.782882,0.0,0,0.0,120.612912,1,1200.0,151.823651,0.0,12
C10101,1619.955708,739.44,11,739.44,0.0,0,6000.0,417.128532,0.0,12
C10102,3505.671311,0.0,0,0.0,1713.984305,6,4000.0,0.0,0.0,12
C10103,4.708041,79.0,3,0.0,0.0,0,7000.0,217.820198,1.0,12
C10104,0.0,0.0,0,0.0,89.849004,1,3000.0,138.021428,0.0,7
C10105,4.875885,20.0,1,20.0,0.0,0,1500.0,26.487919,0.0,9
C10106,23.394411,1346.28,12,0.0,0.0,0,2000.0,712.149153,0.0,12
C10107,3539.801912,2823.8,75,1540.41,0.0,0,5700.0,9172.788366,0.083333,12
C10108,0.62424,389.96,31,0.0,0.0,0,4500.0,0.0,0.0,12
C10109,862.07238,0.0,0,0.0,920.309805,1,4000.0,2236.890255,0.083333,12
C10110,2441.542991,808.0,4,808.0,959.857263,6,4000.0,532.741699,0.0,12
C10111,408.656365,941.64,12,0.0,0.0,0,2500.0,1097.78942,0.083333,12
C10112,4986.400804,0.0,0,0.0,5439.467563,40,8000.0,1241.538024,0.0,12
C10113,1246.624558,423.7,10,177.64,412.399058,2,2000.0,577.050373,0.0,12
C10114,6644.201651,4478.75,64,2721.59,7205.520805,21,9000.0,10857.94321,0.083333,12
C10115,156.216753,1354.86,34,585.63,0.0,0,5500.0,858.976682,0.0,12
C10116,3393.351236,0.0,0,0.0,1008.348672,2,4200.0,0.0,0.0,12
C10117,5322.994094,2812.2,81,857.12,2510.352951,8,8500.0,1509.423237,0.0,12
C10118,6458.56209,0.0,0,0.0,3360.228794,11,7000.0,1277.76778,0.0,12
C10119,175.341651,1508.9,14,1252.36,0.0,0,5000.0,1884.227778,1.0,12
C10120,680.195157,1045.57,25,667.95,0.0,0,3000.0,552.432305,0.0,12
C10121,223.763616,2309.78,12,0.0,0.0,0,6500.0,1206.81188,0.333333,12
C10122,1785.626943,0.0,0,0.0,576.206382,10,1800.0,687.691735,0.0,12
C10123,54.933231,495.0,2,0.0,0.0,0,7000.0,1969.845566,1.0,12
C10124,2662.629852,0.0,0,0.0,509.023801,4,3000.0,932.418855,0.0,12
C10125,8504.876253,6724.26,85,4100.08,1686.599777,10,17000.0,1888.756861,0.0,12
C10126,1464.324632,1174.39,8,1174.39,0.0,0,9000.0,0.0,0.0,12
C10127,2114.158683,5580.85,75,0.0,0.0,0,8500.0,3564.977774,0.0,12
C10128,2876.396444,0.0,0,0.0,998.84867,2,3200.0,1065.426905,0.0,12
C10130,14224.11541,0.0,0,0.0,4614.427403,9,19000.0,3066.614272,0.0,12
C10131,2392.917738,12462.44,217,12462.44,0.0,0,2800.0,11628.71557,0.0,12
C10132,57.453201,0.0,0,0.0,272.713302,1,1200.0,385.853874,0.166667,8
C10133,4245.855092,1957.3,19,1077.3,0.0,0,5000.0,1004.35474,0.0,12
C10134,11167.23403,150.64,1,150.64,8362.154254,14,17000.0,2606.059389,0.0,12
C10135,69.405545,0.0,0,0.0,2799.714934,3,13000.0,0.0,0.0,12
C10136,116.654149,907.0,8,907.0,273.558033,1,5000.0,0.0,0.0,12
C10137,4637.848144,1271.12,33,351.54,0.0,0,5000.0,1906.032044,0.0,12
C10138,24.28497,250.6,7,0.0,0.0,0,3000.0,319.762903,0.0,12
C10139,9354.06045,796.33,1,796.33,13748.47131,16,13000.0,10664.65866,0.083333,12
C10140,231.108995,440.0,22,0.0,0.0,0,4000.0,554.116542,0.0,12
C10141,1562.633343,1330.62,8,1169.63,0.0,0,2000.0,1020.783647,0.0,12
C10142,2494.868559,5491.79,52,1390.5,0.0,0,17000.0,1015.311953,0.0,12
C10143,706.132889,897.86,18,714.52,586.268966,3,1200.0,972.358048,0.0,12
C10144,19043.13856,22009.92,216,9449.07,0.0,0,18000.0,23018.57583,0.0,12
C10145,2235.103331,720.6,12,720.6,723.308724,1,2500.0,1061.292471,0.0,12
C10146,947.13081,197.06,5,148.66,0.0,0,1000.0,492.200419,0.0,12
C10147,764.042156,0.0,0,0.0,1307.102516,3,7500.0,1566.806897,0.0,12
C10148,5347.814547,0.0,0,0.0,4002.353384,9,7000.0,0.0,0.0,12
C10149,10598.46777,2084.48,13,1300.48,0.0,0,21500.0,3219.621433,0.0,12
C10150,2163.678757,5779.36,97,3436.53,0.0,0,6500.0,4416.41268,0.0,12
C10151,3057.400553,1025.0,2,1025.0,0.0,0,7500.0,698.854095,0.0,12
C10152,19.354559,689.7,10,0.0,0.0,0,10000.0,746.691026,0.0,12
C10153,264.811595,28.65,1,28.65,384.26178,1,9000.0,1235.630069,0.083333,12
C10154,1108.22253,944.96,9,164.96,0.0,0,1500.0,1955.198953,0.0,12
C10155,906.573724,1039.2,11,80.0,103.102091,1,13500.0,1855.235407,0.083333,12
C10156,7679.62904,4059.93,14,0.0,555.469352,7,7000.0,3685.61062,0.0,12
C10157,1523.911458,4075.37,31,3322.28,0.0,0,6500.0,2254.26002,0.0,12
C10158,49.206256,870.24,24,0.0,0.0,0,8000.0,835.839952,1.0,12
C10159,13673.07961,9792.23,216,3959.81,2444.445738,26,20000.0,11717.30794,0.0,12
C10160,106.455975,2463.12,46,789.53,0.0,0,4000.0,2573.722764,0.636364,12
C10161,119.760904,1859.34,4,0.0,0.0,0,20000.0,3104.275623,0.25,12
C10162,5837.105453,3488.49,46,3262.25,3303.1523,15,7900.0,0.0,0.0,12
C10163,1734.510004,0.0,0,0.0,66.275851,2,1800.0,363.474455,0.0,12
C10164,2765.748281,7283.31,77,5087.31,0.0,0,11000.0,14373.3929,0.25,12
C10165,1046.37041,295.0,2,295.0,93.579809,1,1200.0,439.407082,0.0,12
C10166,2737.367678,0.0,0,0.0,429.691164,5,3000.0,778.827993,0.0,12
C10167,4014.818167,0.0,0,0.0,988.356213,1,8500.0,1009.185035,0.0,12
C10168,871.568977,648.22,27,115.0,0.0,0,1200.0,1110.886425,0.0,12
C10169,1610.040203,557.19,5,525.64,0.0,0,4000.0,422.711848,0.0,12
C10170,114.593817,469.98,6,0.0,0.0,0,1000.0,367.109312,0.5,6
C10171,5800.587339,0.0,0,0.0,369.950794,1,6500.0,1346.365584,0.0,12
C10172,823.103926,131.64,12,0.0,0.0,0,8000.0,2916.071564,0.0,12
C10173,595.677343,5078.14,42,4330.53,1424.442602,1,15000.0,4756.654374,0.916667,12
C10174,1128.124563,924.6,12,0.0,0.0,0,1000.0,1202.711782,0.0,12
C10175,349.441102,1975.4,17,1393.5,0.0,0,4000.0,1795.012223,0.0,12
C10176,840.804076,0.0,0,0.0,3671.777443,5,4000.0,3621.266477,0.0,9
C10177,975.942008,10221.35,130,7141.38,1620.685551,18,10500.0,10693.49585,0.75,12
C10178,23.111088,300.0,3,0.0,0.0,0,12500.0,291.948834,0.181818,12
C10179,2187.732265,0.0,0,0.0,3905.326256,9,3000.0,1423.788603,0.2,7
C10180,11972.01104,5715.0,90,4685.54,1626.351366,3,14000.0,4639.513745,0.0,12
C10181,1608.451822,0.0,0,0.0,205.737165,2,1800.0,470.565984,0.0,12
C10182,1872.926275,766.61,12,766.61,1017.120578,5,2300.0,0.0,0.0,12
C10183,2933.240476,0.0,0,0.0,2040.433925,13,3000.0,2431.578544,0.0,12
C10184,336.799916,3535.8,44,1614.7,0.0,0,20000.0,2814.231227,1.0,12
C10185,36.236312,256.11,5,0.0,0.0,0,5300.0,831.375322,0.166667,12
C10186,903.29781,2697.48,39,150.5,0.0,0,2500.0,1686.196344,0.0,12
C10187,0.0,23.0,1,0.0,0.0,0,5000.0,0.0,0.0,12
C10188,2881.253586,117.0,3,0.0,17661.49486,28,4500.0,17301.83238,0.166667,12
C10189,5.465999,196.81,3,173.0,0.0,0,12000.0,0.0,0.0,12
C10190,117.442684,653.73,15,493.0,0.0,0,10000.0,441.588141,0.0,12
C10191,168.522709,2009.05,22,0.0,0.0,0,1200.0,2612.760497,0.142857,12
C10192,1706.014379,147.78,2,0.0,1657.090283,4,6000.0,1186.062765,0.0,12
C10193,874.583247,516.54,30,159.07,0.0,0,900.0,579.749308,0.0,12
C10194,861.001207,969.56,6,969.56,446.233197,1,2400.0,0.0,0.0,12
C10196,966.251742,311.45,15,311.45,955.959749,1,1500.0,277.522439,0.0,12
C10197,38.615644,280.4,3,280.4,0.0,0,6150.0,254.392984,0.090909,12
C10198,189.687964,66.14,2,66.14,0.0,0,6000.0,0.0,0.0,12
C10199,40.417255,79.2,1,79.2,1631.576375,1,4000.0,1647.880773,0.083333,12
C10200,5462.897068,1453.32,18,0.0,0.0,0,16500.0,1382.269127,0.0,12
C10201,3983.923705,756.54,15,756.54,0.0,0,4000.0,1110.870941,0.0,12
C10202,5588.846272,3507.35,34,603.75,0.0,0,11500.0,1412.597253,0.0,12
C10203,281.170378,3163.69,36,56.8,0.0,0,8000.0,2422.911622,0.888889,12
C10204,130.251538,1343.19,33,1082.79,0.0,0,15000.0,1043.55929,0.545455,12
C10205,1973.814964,873.0,5,873.0,0.0,0,8000.0,541.722532,0.0,12
C10206,5698.539876,47.55,2,0.0,2039.52804,14,6000.0,2976.579866,0.0,12
C10207,43.103899,370.0,2,370.0,0.0,0,23000.0,1212.054219,0.0,12
C10208,566.546048,405.75,12,313.75,1044.651618,6,2000.0,1249.835142,0.0,12
C10209,24.527253,261.64,10,0.0,0.0,0,4000.0,376.758504,0.818182,12
C10211,8350.145568,1989.28,8,842.8,893.757903,2,14000.0,4720.900413,0.0,12
C10212,4559.779234,10848.5,123,8208.0,0.0,0,7500.0,9423.715495,0.0,12
C10213,2.67713,43.39,1,0.0,0.0,0,4000.0,130.107234,0.090909,12
C10214,1570.682346,645.32,2,645.32,1665.331678,9,1800.0,2591.391006,0.0,12
C10215,7201.736985,987.1,9,862.1,5468.620604,16,10500.0,1941.541158,0.0,12
C10216,6467.885013,1464.14,23,978.71,3947.86784,10,11500.0,1658.563509,0.0,12
C10217,64.080909,927.0,4,600.0,0.0,0,5000.0,1260.16384,0.222222,12
C10218,5635.860679,393.62,15,153.72,5933.467329,24,10000.0,1919.630466,0.0,12
C10219,3670.50596,965.5,9,876.13,0.0,0,7500.0,1034.932404,0.0,12
C10220,2458.376257,0.0,0,0.0,102.275984,1,7500.0,4543.63481,0.0,12
C10221,768.004936,336.41,9,336.41,0.0,0,6000.0,947.696134,0.0,12
C10222,75.647479,540.0,3,0.0,0.0,0,4000.0,548.967281,0.0,12
C10223,2.433254,36.0,2,0.0,0.0,0,7500.0,0.0,0.0,12
C10224,1121.730896,878.52,39,103.1,197.648111,1,1500.0,542.836917,0.0,12
C10226,7.56809,144.26,7,67.08,0.0,0,11500.0,134.710832,0.111111,12
C10227,2053.441598,493.85,10,441.35,1738.33378,16,2000.0,2795.059574,0.0,12
C10228,2422.311938,4490.69,52,3456.25,188.783221,1,8500.0,5763.666926,0.0,12
C10229,9047.621884,11188.62,151,6099.16,0.0,0,10000.0,11994.41815,0.0,12
C10230,3061.213971,1829.2,17,1792.7,0.0,0,7000.0,971.234118,0.0,12
C10231,41.642389,75.99,1,75.99,0.0,0,2700.0,69.163384,0.0,7
C10232,5431.622968,1824.16,23,1598.56,0.0,0,14500.0,1508.016452,0.0,12
C10233,6571.484039,9325.22,5,9325.22,0.0,0,8500.0,11036.72668,0.0,12
C10234,28.461629,100.0,1,100.0,0.0,0,4000.0,125.769169,0.0,12
C10235,4178.625215,1431.89,39,430.69,0.0,0,4000.0,2384.542045,0.0,12
C10236,3019.019487,2260.41,25,1356.33,0.0,0,8500.0,2187.930651,0.0,12
C10237,1.045584,0.0,0,0.0,466.643895,1,1200.0,1068.581252,0.5,9
C10238,2723.369217,10410.49,41,1158.84,0.0,0,19500.0,9695.650901,0.363636,12
C10239,1070.999446,990.7,13,482.0,0.0,0,1400.0,505.317328,0.0,12
C10240,279.608696,3034.92,12,0.0,0.0,0,2900.0,2928.909865,0.083333,12
C10241,1255.901821,1038.81,21,1038.81,1092.634704,1,5700.0,1215.454299,0.0,12
C10242,2229.857287,45.65,1,45.65,0.0,0,2500.0,542.7463,0.0,12
C10243,2363.489077,2641.98,41,1386.3,263.884743,1,3000.0,1839.928884,0.0,12
C10244,4014.388265,1189.52,12,1189.52,0.0,0,8000.0,0.0,0.0,12
C10245,7623.224897,300.0,6,0.0,2800.728343,3,12000.0,1975.974183,0.0,12
C10246,3421.571922,126.69,5,42.88,154.341344,1,10500.0,2515.435738,0.0,12
C10247,48.898611,247.09,7,0.0,182.357669,3,5500.0,409.594792,0.0,12
C10248,1874.716289,301.1,10,83.0,0.0,0,1950.0,586.974046,0.0,12
C10249,3215.511032,1112.2,4,1112.2,7616.064965,4,7200.0,0.0,0.0,12
C10250,237.235398,2410.07,15,1670.5,0.0,0,4000.0,3773.727455,1.0,12
C10251,1272.927288,5350.19,101,4783.34,0.0,0,8000.0,5825.602115,0.166667,12
C10252,558.476701,630.03,1,630.03,0.0,0,5500.0,426.092563,0.0,11
C10253,2814.207626,3197.24,49,2080.02,0.0,0,3000.0,3574.480603,0.0,12
C10254,8.061012,133.0,3,0.0,0.0,0,3000.0,130.61272,0.181818,12
C10255,435.862142,1646.16,33,1023.42,0.0,0,12000.0,1055.835407,0.0,12
C10256,6.390383,79.66,12,0.0,0.0,0,1500.0,75.896288,0.0,12
C10257,9612.21512,319.92,12,0.0,13439.5704,12,12000.0,10993.89211,0.0,12
C10258,7938.559134,3677.52,98,3543.73,0.0,0,12500.0,2657.856602,0.0,12
C10259,2344.478291,1041.63,14,1041.63,4003.968939,6,4000.0,3033.665478,0.0,12
C10260,996.48222,675.96,12,0.0,0.0,0,1000.0,1851.602411,0.083333,12
C10261,19.508047,193.14,5,0.0,0.0,0,2000.0,220.46377,0.25,12
C10262,185.640313,1703.23,13,1703.23,0.0,0,11500.0,1449.039414,1.0,12
C10263,5335.302925,0.0,0,0.0,468.958688,2,6000.0,1350.318606,0.0,12
C10265,22.189283,234.16,4,0.0,0.0,0,1500.0,479.910499,0.5,11
C10266,5.871769,29.68,1,29.68,0.0,0,10000.0,76.943584,0.0,12
C10267,1049.496471,1322.67,28,1096.71,774.260436,6,11000.0,802.38543,0.0,12
C10269,5570.190127,1607.88,84,0.0,0.0,0,13500.0,1583.411686,0.0,12
C10270,1668.591831,0.0,0,0.0,1716.941235,5,1800.0,2166.981163,0.083333,12
C10271,2224.590946,3183.0,2,3183.0,0.0,0,9000.0,3823.346244,0.0,12
C10272,2903.781184,3014.23,93,1340.34,103.610197,1,4500.0,1350.370286,0.0,12
C10273,2041.480046,7323.38,81,4944.88,191.331735,1,3000.0,3792.095079,0.083333,12
C10274,7755.698607,8533.54,72,4072.76,7540.30735,12,10000.0,4758.209146,0.0,6
C10275,614.263149,408.93,10,74.8,0.0,0,9000.0,2161.153147,0.0,12
C10276,8097.334733,3999.92,14,200.0,0.0,0,7500.0,5624.074339,0.0,12
C10277,1082.33027,2980.46,50,657.78,0.0,0,6000.0,1116.967993,0.0,12
C10278,2734.66412,560.73,11,560.73,0.0,0,7500.0,717.798364,0.0,12
C10279,80.708806,569.9,3,569.9,0.0,0,9500.0,634.000055,0.083333,12
C10280,2554.525229,6186.77,38,6099.08,1898.690655,1,10950.0,11198.92613,0.083333,12
C10281,535.947221,4550.81,99,3016.98,438.469118,1,8500.0,4317.191232,0.916667,12
C10282,3905.365959,150.8,2,150.8,1659.19931,5,7500.0,990.524408,0.0,12
C10283,156.278339,1385.1,21,1005.1,0.0,0,14000.0,1280.473571,0.833333,12
C10284,5131.319584,32539.78,98,26547.43,0.0,0,11500.0,26652.34432,0.083333,12
C10285,5265.763713,410.24,21,44.71,15452.97758,13,16500.0,12005.3074,0.083333,12
C10286,2.564117,47.95,1,47.95,0.0,0,1500.0,294.507498,0.0,12
C10287,1873.084577,126.57,4,126.57,181.139378,1,2100.0,483.557464,0.0,12
C10288,32.124999,380.89,1,380.89,0.0,0,5700.0,0.0,0.0,12
C10289,1473.495809,414.0,9,0.0,0.0,0,10500.0,5863.94034,0.5,12
C10290,1504.82705,2010.0,14,630.0,1189.292764,1,8500.0,859.829946,0.0,12
C10291,7645.108427,4693.15,12,4332.65,0.0,0,13500.0,4786.64868,0.0,12
C10292,1129.33758,498.96,12,0.0,72.259355,1,1000.0,829.505486,0.0,12
C10293,668.956687,224.2,9,148.12,0.0,0,9500.0,568.336995,0.0,12
C10294,2302.184366,2856.57,62,922.84,0.0,0,2500.0,2914.419813,0.0,12
C10295,272.711518,0.0,0,0.0,682.156051,2,3000.0,2755.877257,0.181818,12
C10296,4246.430225,0.0,0,0.0,9270.408108,16,7000.0,6010.525656,0.083333,12
C10297,2420.761135,0.0,0,0.0,567.233798,2,3000.0,871.713321,0.0,12
C10298,2935.324966,409.63,12,351.87,1876.241162,4,5000.0,580.13865,0.0,12
C10299,83.148283,843.34,17,843.34,0.0,0,6500.0,1024.267592,0.5,12
C10300,5469.851311,0.0,0,0.0,512.792701,3,6000.0,1362.966798,0.0,12
C10301,280.142117,2236.49,34,758.52,0.0,0,10000.0,1986.838064,1.0,12
C10302,5790.930626,464.51,10,399.41,2516.727082,6,6000.0,1515.594331,0.0,12
C10303,3605.714046,1779.0,2,1779.0,0.0,0,5000.0,856.05828,0.0,12
C10304,3992.261885,0.0,0,0.0,348.834361,9,4000.0,1057.678259,0.0,12
C10305,41.833264,456.36,14,0.0,0.0,0,6000.0,370.996177,0.333333,12
C10306,635.090434,5758.71,48,2252.37,0.0,0,2900.0,7943.57021,1.0,12
C10307,1521.1681,245.98,2,245.98,2792.67597,3,6000.0,2261.523522,0.0,12
C10308,5547.092593,0.0,0,0.0,3298.958165,2,12000.0,1786.142816,0.0,12
C10309,2503.107213,733.9,13,733.9,0.0,0,3000.0,1620.193277,0.0,12
C10310,191.450711,1641.07,15,1641.07,380.972341,1,500.0,1583.918811,0.636364,12
C10311,3621.70204,674.73,12,674.73,1684.957411,8,4000.0,1139.058595,0.0,12
C10312,2762.479434,2702.47,27,1526.31,0.0,0,11000.0,7596.768364,0.083333,12
C10313,4338.606862,0.0,0,0.0,1817.569093,4,8000.0,8019.800702,0.0,12
C10314,388.873921,1579.15,15,1462.35,0.0,0,2700.0,451.600059,0.0,12
C10315,9261.310686,0.0,0,0.0,8603.045938,10,11000.0,1933.413908,0.0,12
C10316,208.131845,2161.38,41,451.5,0.0,0,4500.0,2059.879468,1.0,12
C10317,169.088238,1482.19,26,446.07,0.0,0,6000.0,1289.570234,0.666667,12
C10318,133.911556,1446.05,16,544.45,0.0,0,3500.0,1364.121036,0.833333,12
C10319,1613.34907,0.0,0,0.0,1606.322681,3,4500.0,312.433361,0.0,11
C10320,566.908563,397.06,12,303.7,0.0,0,2100.0,0.0,0.0,12
C10321,53.208422,498.17,14,459.02,0.0,0,15000.0,611.606459,0.909091,12
C10322,1329.967543,2009.12,36,1296.68,1763.794583,10,2500.0,2715.972095,0.0,12
C10323,515.904786,5359.02,60,2399.78,0.0,0,6000.0,0.0,0.0,12
C10324,927.041961,0.0,0,0.0,402.974164,5,1000.0,719.974244,0.0,12
C10325,1872.767651,0.0,0,0.0,3394.509419,3,5500.0,1151.721386,0.0,12
